method,n_games,accuracy,precision,recall,f1,log_loss,brier_score,mae_prob,avg_home_win_prob,avg_confidence,avg_gap,ece,tp,fp,tn,fn
chain_of_thought,132,0.6136,0.6857,0.6234,0.6531,0.6462,0.2281,0.4414,0.515,0.6694,0.3388,0.0683,48,22,33,29
multi_agent_debate,132,0.5227,0.5795,0.6623,0.6182,0.7706,0.2832,0.5107,0.532,0.6204,0.2408,0.167,51,37,18,26
single_agent,125,0.528,0.5843,0.7027,0.638,0.8111,0.2969,0.5022,0.5954,0.689,0.3779,0.2053,52,37,14,22
